ActionAffinity/&DHFeeblemindSpellDescription	Kann keine Zauber wirken
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Magie verschmolz Medusenkoralle und Hartholz zu einem tödlichen Bogen, der von den Enterkommandos der Inselhalblinge bevorzugt wurde.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Medusa Leichte Armbrust
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Der Coedymwarth zog es vor, mit Manacalons Arkanisten eher physisch als magisch umzugehen. Seine besten Bogenschützen erhielten Armbrüste, die Schöpfung von Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Leichte Armbrust des Scharfschießens
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens von Colthannins Bogenschützenmeistern geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe nutzte – mit verheerender Wirkung!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Leichte Sturmarmbrust
Equipment/&Enchanted_Maul_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Maul_Acuteness_Title	Maul der Schärfe
Equipment/&Enchanted_Maul_Bearclaw_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Die scharfen Stacheln der Bärenkralle zerfetzen die Rüstung, um zusätzlichen Schaden zuzufügen – genau wie von Ildurial Stronghand erwartet, der die erste Waffe dieser Art entwickelt hat.
Equipment/&Enchanted_Maul_Bearclaw_Title	Bärenklauenmaul
Equipment/&Enchanted_Maul_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Maul_Lightbringer_Title	Lichtbringer Maul
Equipment/&Enchanted_Maul_Power_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Einige Kreaturen respektieren nur körperliche Stärken. Arkanisten aus Manacalon haben diesen Maul erschaffen, um Champions der Iron Legions die Kraft zu geben, die ihre Elfenkörper nicht bieten.
Equipment/&Enchanted_Maul_Power_Title	Maul der Macht
Equipment/&Enchanted_Maul_Punisher_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Die Kombination aus bestem Metall und Sklavenstein verlieh dieser Axt eine unglaubliche Durchschlagskraft.
Equipment/&Enchanted_Maul_Punisher_Title	Bestrafer Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quartierstab der Schärfe
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Lestoreth Steelarm entworfen, um im gefrorenen Norden des Imperiums zu kämpfen.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Kampfstab der Drachenklinge
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Frostbrand-Quarterstab
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Stab des Lichtbringers
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Seelentrinker-Viertelstab
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe nutzte – mit verheerender Wirkung!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Sturmklingen-Quarterstab
Equipment/&Enchanted_Quarterstaff_Warden_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Ildurial Strongarm entworfen, einem berühmten Klingenschmied aus Manacalon. Die erste derartige Klinge, die Manacalon Warden, wurde dem Kommandanten der Euraidd angeboten.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Warden Quarterstaff
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Whiteburn wurde vom ersten Danantar geschaffen, um eine Trollinvasion zu bekämpfen, die aus den Sümpfen südlich seiner Domäne zwischen den Sioltafin und den Scarafin kam.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Whiteburn-Quarterstab
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Lestoreth Steelarm entworfen, um im gefrorenen Norden des Imperiums zu kämpfen.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Scimitar der Drachenklinge
Equipment/&Enchanted_Scimitar_Frostburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Es wurde von Keliandir Moltenheart entworfen, der diese Waffe geschmiedet hat, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schief gelaufen war.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Frostbrandsäbel
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Scimitar des Lichtbringers
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Diese Waffe ist ein Favorit der Silent Whisper-Agenten und wurde von Cylordir Redblade entworfen.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Seelentrinker Scimitar
Equipment/&Enchanted_Scimitar_Stormblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Galar Stromforge entworfen, dem ersten Zwergenschmied, der die Macht des Sturms in einer Waffe nutzte – mit verheerender Wirkung!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Scimitar der Sturmklinge
Equipment/&Enchanted_Scimitar_Warden_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Es wurde von Ildurial Strongarm entworfen, einem berühmten Klingenschmied aus Manacalon. Die erste derartige Klinge, die Manacalon Warden, wurde dem Kommandanten der Euraidd angeboten.
Equipment/&Enchanted_Scimitar_Warden_Title	Wächter Scimitar
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Whiteburn wurde vom ersten Danantar geschaffen, um eine Trollinvasion zu bekämpfen, die aus den Sümpfen südlich seiner Domäne zwischen den Sioltafin und den Scarafin kam.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Weißbrandsäbel
Equipment/&Enchanted_Shield_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Deflection_Title	Schild der Ablenkung
Equipment/&Enchanted_Shield_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_FlameDancing_Title	Schild des Flammentanzens
Equipment/&Enchanted_Shield_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_FrostWalking_Title	Schild des Frostwandelns
Equipment/&Enchanted_Shield_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Robustness_Title	Schild der Robustheit
Equipment/&Enchanted_Shield_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Sturdiness_Title	Schild der Robustheit
Equipment/&Enchanted_Shield_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Survival_Title	Schild des Überlebens
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Hölzerner Schild der Ablenkung
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Holzschild des Flammentanzes
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Hölzerner Schild des Frostwandelns
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Hölzerner Schild der Robustheit
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Hölzerner Schild der Robustheit
Equipment/&Enchanted_Shield_Wooden_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Überlebensschild aus Holz
Equipment/&Enchanted_Spear_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Spear_Acuteness_Title	Speer der Schärfe
Equipment/&Enchanted_Spear_BlackViper_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede von Manacalon geschmiedet, wobei ein Speer und das Gift einer legendären Spinne aus Solastas Tiefen verwendet wurden. Der Konstrukteur der Klinge war Grigg Blackheart, ein berüchtigter Halblingsschmied aus den Marsh, der in den Schmieden der Aer Elai arbeitete.
Equipment/&Enchanted_Spear_BlackViper_Title	Schwarzer Viper-Speer
Equipment/&Enchanted_Spear_Doomblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Kenaloth Darkmind erfand die Schicksalsklingen als Werkzeug zur Bestrafung derjenigen, die sich der Magie des Imperiums widersetzten.
Equipment/&Enchanted_Spear_Doomblade_Title	Speer mit Doom-Spitze
Equipment/&Enchanted_Spear_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Spear_Lightbringer_Title	Speer des Lichtbringers
Equipment/&Enchanted_Spear_Sharpness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Spear_Sharpness_Title	Speer der Schärfe
Equipment/&Enchanted_Spear_Stormblade_Title	Speer der Sturmklinge
Equipment/&Enchanted_Spear_Whiteburn_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Whiteburn wurde vom ersten Danantar geschaffen, um eine Trollinvasion zu bekämpfen, die aus den Sümpfen südlich seiner Domäne zwischen den Sioltafin und den Scarafin kam.
Equipment/&Enchanted_Spear_Whiteburn_Title	Whiteburn-Speer
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Beschlagenes Leder der Ablenkung
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Beschlagenes Leder des Flammentanzes
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Beschlagenes Leder des Frostwandelns
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Nietenleder der Robustheit
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Nietenleder der Robustheit
Equipment/&Enchanted_StuddedLeather_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Rüstungsmeister von Manacalon hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Imperators.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Beschlagenes Leder des Überlebens
Equipment/&Enchanted_Warhammer_Acuteness_Description	Diese verzauberte Waffe wurde mithilfe des uralten Wissens der Schmiedemeister von Manacalon hergestellt. Sein Design war eines der frühen Werke von Elgador Keenspirit, Magesmith des Arcaneums.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Kriegshammer der Schärfe
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschmiedet. Die scharfen Stacheln der Bärenkralle zerfetzen die Rüstung, um zusätzlichen Schaden zuzufügen – genau wie von Ildurial Stronghand erwartet, der die erste Waffe dieser Art entwickelt hat.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Bärenklauen-Kriegshammer
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen von Colthannins Schmiedemeistern geschmiedet. Es wurde von Elgador Keenspirit, Magesmith des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
