ActionAffinity/&DHFeeblemindSpellDescription	unable to cast spells
Subclass/&PowerManipulatorDominatePersonDescription	You can use Dominate Person a number of times per long rest equal to your intelligence modifier.
Subclass/&PowerManipulatorDominatePersonTitle	Dominate Person
Subclass/&PowerSpellRefuelingRingDescription When you activate this, you regain half your level in spell slots.
Subclass/&PowerSpellRefuelingRingTitle Spell Refueling Ring
Subclass/&PowerSpellShieldArcaneDeflectionDescription	You can use your arcane powers to shield yourself as a reaction. This gives you +{0} to your AC until your next turn.
Subclass/&PowerSpellShieldArcaneDeflectionTitle	Arcane Deflection
Subclass/&PowerSpellShieldRangedDeflectionDescription	When an attacker that you can see hits you with a ranged attack or spell, you can use your reaction to halve the attack's damage against you.
Subclass/&PowerSpellShieldRangedDeflectionTitle	Ranged Deflection
Subclass/&PowerTinkererSoulOfArtificeSavesDescription Imbued into your armor is magical improvements to your ability to avoid bad effects. You gain 3d4 to every saving throw you make.
Subclass/&PowerTinkererSoulOfArtificeSavesTitle Soul of Tinkerer
Subclass/&PowerTinkererSpellStoringItemDescription As a bonus action you can regain spell slots. You can do this a number of times per day equal to your Intellifence modifier.
Subclass/&PowerTinkererSpellStoringItemTitle Spell Storing Item
Subclass/&PowerTransmuteConstitutionDescription	Use your Transmute Force to grant proficiency with Constitution Saves until the next long rest.
Subclass/&PowerTransmuteConstitutionTitle	Constitution Saves
Subclass/&PowerTransmuteDarkvisionDescription	Use your Transmute Force to grant Superior Darkvision until the next long rest.
Subclass/&PowerTransmuteDarkvisionTitle	Superior Darkvision
Subclass/&PowerTransmuteElementalResistanceDescription	Use your Transmute Force to grant resistance to Acid, Cold, Fire, Lightning, Necrotic, Thunder, and Poison until the next long rest.
Subclass/&PowerTransmuteElemnetalResistanceTitle	Elemental Resistance
Subclass/&PowerTransmuteFlyDescription	Use your Transmute Force to grant the ability of flight.
Subclass/&PowerTransmuteFlyTitle	Fly
Subclass/&PowerTransmuteHealDescription	Use your Transmute Force to heal up to 6 targets.
Subclass/&PowerTransmuteHealTitle	Heal
Subclass/&PowerTransmuteReviveDescription	Use your Transmute Force to revive a character (within 1 minute of them dying).
Subclass/&PowerTransmuteReviveTitle	Revive
Subclass/&PurpleWitchDescription	Purple magic holds sway over the domains of illusions and enchantments that take hold over people's minds, and anything that is not quite as it seems. Practitioners of this form of magic are puppet masters, shaping the apparent reality of those around them to their advantage.
Subclass/&PurpleWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known. \n\nLevel	Spells\n1st	Entangle, Goodberry\n2nd	Barkskin, Protection from Poison\n3rd	Conjure Animals, Create Food\n4th	Giant Insect, Stoneskin\n5th	Dispel Evil and Good, Insect Plague
Subclass/&PurpleWitchMagicTitle	Purple Magic
Subclass/&PurpleWitchTitle	Purple Witch
Subclass/&RangerArcanistRangerSubclassDescription	The Ranger Arcanist melds their ranger skills with arcane abilities. Their weapons can afflict their opponents with the Arcanist's Mark, and have learned how to cast some Wizard spells as part of their Ranger spell repertoire.
Subclass/&RangerArcanistRangerSubclassTitle	Ranger Arcanist
Subclass/&RedWitchDescription	Arcane magic tied to channeling the elements is deemed red magic, and is extremely hazardous when used. Witches that specialize in red magic are among the deadliest spellcasters in existence, channeling their curse into unhindered arcane wrath.
Subclass/&RedWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known. \n\nLevel	Spells\n1st	Burning Hands, Magic Missile\n2nd	Acid Arrow, Scorching Ray\n3rd	Fireball, Protection From Energy\n4th	Ice Storm, Wall of Fire\n5th	Cone of Cold, Mind Twist
Subclass/&RedWitchMagicTitle	Red Magic
Subclass/&RedWitchTitle	Red Witch
Subclass/&RoguishConArtistDescription	Con Artists are rogues that specialize in deception and tricking others. They use magic to aid their natural manipulative abilities.
Subclass/&RoguishConArtistFeintConditionDescription	Being tricked grants advantage on the next attack.
Subclass/&RoguishConArtistFeintConditionTitle	Tricked
Subclass/&RoguishConArtistFeintDescription	Gain the ability to feint in combat as a bonus action. If the target fails their saving throw, this grants advantage on the next attack against the target.
Subclass/&RoguishConArtistFeintTitle	Feint
Subclass/&RoguishConArtistMentalSavingThrowsDescription	You gain proficiency in Wisdom and Charisma saving throws.
Subclass/&RoguishConArtistMentalSavingThrowsTitle	Mental Strength
Subclass/&RoguishConArtistSpellcastingDescription	Cast wizard spells and cantrips from the Conjuration, Enchantment, Illusion, and Transmutation schools. The Con Artist uses Charisma to cast their spells.
Subclass/&RoguishConArtistSpellcastingTitle	Spellcasting
Subclass/&RoguishConArtistTitle	Con Artist
Subclass/&ScoutSentinelTinkererSubclassDescription	A Scout Sentinel tinkerer modifies armor to enhance it's fuction, provding enhanced protection and mobility.
Subclass/&ScoutSentinelTinkererSubclassTitle	Scout Sentinel
Subclass/&SpellShieldAdditionalActionDescription	You can cast a spell after defeating an enemy with your weapon attacks.
Subclass/&SpellShieldAdditionalActionTitle	Spell Fighting
Subclass/&TactitionFighterSubclassDescription	The Tactician uses their knowledge and might on the battlefield to perform different gambits as they are needed.  They can knock down foes, inspire their allies and get in deadly counter-strikes against their foes.  Mod note - This class re-uses channel divinity for these features.
Subclass/&TactitionFighterSubclassTitle	The Tactician
Subclass/&TinkererFlashOfGeniusConditionDescription Inspired by a flash of genius to have a bonus on ability checks and saving throws
Subclass/&TinkererFlashOfGeniusConditionTitle Flash of Genius
Subclass/&TinkererFlashOfGeniusPowerDescription You can use your genius to inspire yourself and others on ability checks and saving throws
Subclass/&TinkererFlashOfGeniusPowerTitle Flash of Genius
Subclass/&TinkererInfusionChoiceDescription Select the infusions that you will have available to use. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&TinkererInfusionChoiceTitle Infusion Choice
Subclass/&TinkererMagicalTinkeringDescription Gain the ability to do several minor effects (Dazzle, Sparkle, Shine).
Subclass/&TinkererMagicalTinkeringTitle Magical Tinkering
Subclass/&TraditionArcaneFighterDescription	Channel your magic into weapon attacks.
Subclass/&TraditionArcaneFighterTitle	Arcane Fighter
Subclass/&TraditionLifeTransmuterDescription	Masters of manipulating both matter and life energy.
Subclass/&TraditionLifeTransmuterTitle	Life Transmuter
Subclass/&TraditionMasterManipulatorDescription	Master Manipulators excel at controlling the battlefield and preventing their enemies from being able to attack them.
Subclass/&TraditionMasterManipulatorTitle	Master Manipulator
Subclass/&TraditionSpellMasterBonusCantripsDescription	Gain 2 extra cantrips known.
Subclass/&TraditionSpellMasterBonusCantripsTitle	Bonus Cantrips
Subclass/&TraditionSpellMasterDescription	Spell masters immerse themselves in magic and try to learn every spell they can get their hands on. They are unmatched in their spell knowledge.
Subclass/&TraditionSpellMasterExtraPreparedDescription	Prepare intelligence modifier additional spells so you always have what you need.
Subclass/&TraditionSpellMasterExtraPreparedTitle	Extra Prepared
Subclass/&TraditionSpellMasterPreparedDescription	Prepare proficiency bonus additional spells so you always have what you need.
Subclass/&TraditionSpellMasterPreparedTitle	Be Prepared
Subclass/&TraditionSpellMasterSpellResistanceDescription	Your training with magic gives you advantage on saving throws against spells.
Subclass/&TraditionSpellMasterSpellResistanceTitle	Spell Resistance
Subclass/&TraditionSpellMasterTitle	Spell Master
Subclass/&WeaponProfArcaneFighterDescription	Experience in combat has given the Arcane Fighter training in Simple and Martial Weapons.
Subclass/&WeaponProfArcaneFighterTitle	 Weapon Training
Subclass/&WeaponProfArtificerBattleSmithDescription Experience in combat has given the Weapon Smith training in Martial Weapons
Subclass/&WeaponProfArtificerBattleSmithTitle Weapon Training
Subclass/&WhiteWitchDescription	White magic is fundamentally good and benevolent for all living things. Witches that adopt this craft, in spite of the hateful curse that infects them, often dedicate themselves to healing and caretaking, with the intent of bettering the world.
Subclass/&WhiteWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known. \n\nLevel	Spells\n1st	Bless, Cure Wounds\n2nd	Lesser Restoration, Prayer of Healing\n3rd	Beacon of Hope, Revivify\n4th	Death Ward, Guardian of Faith\n5th	Mass Cure Wounds, Raise Dead
Subclass/&WhiteWitchMagicTitle	White Magic
Subclass/&WhiteWitchTitle	White Witch
Subclass/&WitchSubclassPathDescription	Your knowledge of magic has culminated in joining a Coven, an innate circle of Witches who delve down a specific path of witchdom and curses.
Subclass/&WitchSubclassPathTitle	Witch Covens
Tooltip/&TagMaledictionTitle	Malediction
Tooltip/&Tag9000Title	Custom Effect
Tooltip/&TagScoutSentinelWeaponTitle	Uses Int for attack & damage
Screen/&EditorLocationSize3Title	Huge [MODDED]
Screen/&EditorLocationSize4Title	Gargantuan [MODDED]
BlueprintCategory/&FlatRoomsTitle	Flat Rooms
Monster/&WitchOwlFamiliarTitle Owl
Monster/&WitchOwlFamiliarDescription Owl familiar
Monster/&OwlFamiliarTitle Owl
Monster/&OwlFamiliarDescription Owl familiar
Feature/&BardSkillsTitle	Bard Skills
Format/&LevelAndExperienceFormat	Level: {0}\nExperience: {1}\n{2} points required to reach level {3}
Format/&LevelAndExperienceMaxedFormat	Level: {0}\nExperience: {1}\nmax level reached.
Message/&ZSLevelDownConfirmationDescription	Level down this Hero?
Message/&ZSLevelDownWarnedConfirmationDescription	Class {0} still in beta support. Level down this Hero?
Message/&ZSLevelDownConfirmationTitle	Level Down
RestActivity/&ZSLevelDownDescription	Level down this Hero
RestActivity/&ZSLevelDownTitle	Level Down
Screen/&SpellSlotsUsedLongDescription	You have expended {0} long-rest slot(s) of this level.
Screen/&SpellSlotsUsedShortDescription	You have expended {0} short-rest slot(s) of this level.
Screen/&SpellSlotsUsedShortLongDescription	You have expended {0} short-rest slot(s) and {1} long-rest slot(s) of this level.
MainMenu/&ExportPdfDescription	Level down the selected character
MainMenu/&ExportPdfTitle	Level Down
